Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910805,100,POST,/put,16.700000,0.000000,55,57,58,59,63,66,71,110,110,110,110,238,0,51,46.95713049604361,21.71207599894842,134.31985100032762,0.0
1753910805,100,,Aggregated,1824.500000,0.000000,33,36,37,38,42,48,61,90,100,110,110,26322,0,29,27.838567098741464,5.704978997528087,177.60040100256447,51.88648279006154
1753910806,100,GET,/get,1807.800000,0.000000,33,35,37,38,41,46,58,90,100,100,110,26084,0,28,27.664122301603065,5.704978997528087,177.60040100256447,52.359914123600674
1753910806,100,POST,/put,16.700000,0.000000,55,57,58,59,63,66,71,110,110,110,110,238,0,51,46.95713049604361,21.71207599894842,134.31985100032762,0.0
1753910806,100,,Aggregated,1824.500000,0.000000,33,36,37,38,42,48,61,90,100,110,110,26322,0,29,27.838567098741464,5.704978997528087,177.60040100256447,51.88648279006154
1753910807,100,GET,/get,1807.800000,0.000000,34,36,38,39,42,46,51,60,98,100,110,26084,0,28,27.664122301603065,5.704978997528087,177.60040100256447,52.359914123600674
1753910807,100,POST,/put,16.700000,0.000000,55,57,59,60,63,65,68,70,71,71,71,238,0,51,46.95713049604361,21.71207599894842,134.31985100032762,0.0
1753910807,100,,Aggregated,1824.500000,0.000000,34,37,38,39,42,47,54,64,98,100,110,26322,0,29,27.838567098741464,5.704978997528087,177.60040100256447,51.88648279006154
1753910808,100,GET,/get,1863.700000,0.000000,34,36,38,39,41,45,51,55,97,100,110,31952,0,30,28.906391666618664,5.704978997528087,177.60040100256447,52.950676014021035
1753910808,100,POST,/put,16.700000,0.000000,55,57,59,60,62,65,70,73,74,74,74,289,0,52,48.43225553644874,21.71207599894842,134.31985100032762,0.0
1753910808,100,,Aggregated,1880.400000,0.000000,34,36,38,39,42,47,53,58,97,100,110,32241,0,30,29.081416469149012,5.704978997528087,177.60040100256447,52.47603982506746
1753910809,100,GET,/get,1863.700000,0.000000,34,36,38,39,41,45,51,55,97,100,110,31952,0,30,28.906391666618664,5.704978997528087,177.60040100256447,52.950676014021035
1753910809,100,POST,/put,16.700000,0.000000,55,57,59,60,62,65,70,73,74,74,74,289,0,52,48.43225553644874,21.71207599894842,134.31985100032762,0.0
1753910809,100,,Aggregated,1880.400000,0.000000,34,36,38,39,42,47,53,58,97,100,110,32241,0,30,29.081416469149012,5.704978997528087,177.60040100256447,52.47603982506746
1753910810,100,GET,/get,1863.700000,0.000000,34,36,37,38,41,44,49,51,57,69,69,31952,0,30,28.906391666618664,5.704978997528087,177.60040100256447,52.950676014021035
1753910810,100,POST,/put,16.700000,0.000000,55,57,58,59,63,65,73,74,74,74,74,289,0,52,48.43225553644874,21.71207599894842,134.31985100032762,0.0
1753910810,100,,Aggregated,1880.400000,0.000000,34,36,38,38,41,45,50,53,63,73,74,32241,0,30,29.081416469149012,5.704978997528087,177.60040100256447,52.47603982506746
1753910811,100,GET,/get,1921.000000,0.000000,34,36,38,38,41,44,50,52,58,69,69,37726,0,31,29.86333606018499,5.704978997528087,177.60040100256447,53.44701267030695
1753910811,100,POST,/put,18.700000,0.000000,55,57,58,60,62,65,72,73,74,74,74,340,0,53,49.565566338317105,21.71207599894842,134.31985100032762,0.0
1753910811,100,,Aggregated,1939.700000,0.000000,34,36,38,39,41,46,51,54,63,73,74,38066,0,31,30.039313528123966,5.704978997528087,177.60040100256447,52.96963169232386
1753910812,100,GET,/get,1921.000000,0.000000,34,36,38,38,41,44,50,52,58,69,69,37726,0,31,29.86333606018499,5.704978997528087,177.60040100256447,53.44701267030695
1753910812,100,POST,/put,18.700000,0.000000,55,57,58,60,62,65,72,73,74,74,74,340,0,53,49.565566338317105,21.71207599894842,134.31985100032762,0.0
1753910812,100,,Aggregated,1939.700000,0.000000,34,36,38,39,41,46,51,54,63,73,74,38066,0,31,30.039313528123966,5.704978997528087,177.60040100256447,52.96963169232386
1753910817,100,GET,/get,1921.000000,0.000000,35,37,38,39,41,46,51,53,59,68,68,37726,0,31,29.86333606018499,5.704978997528087,177.60040100256447,53.44701267030695
1753910817,100,POST,/put,18.700000,0.000000,56,58,60,60,61,65,72,73,73,73,73,340,0,53,49.565566338317105,21.71207599894842,134.31985100032762,0.0
